Customer,Age,Gender,Frequency of Purchases,Purchase Amount (USD),Category,Review Rating,Item Purchased,Subscription Status
206,28,Female,rare,18073,Clothing,5,Shirt,Yes
207,26,Male,frequent,2311,Clothing,4,T-shirt,Yes
208,27,Male,rare,16081,Books,6,Gloves,Yes
209,37,Female,rare,12032,Electronics,7,Skirt,Yes
210,30,Male,occasional,9450,Clothing,5,Sandals,Yes
211,31,Female,occasional,12160,Electronics,2,Jacket,Yes
212,31,Female,rare,13738,Books,6,Skirt,Yes
213,36,Female,frequent,3178,Food,5,Handbag,Yes
214,28,Female,rare,8439,Food,3,Handbag,Yes
215,26,Female,occasional,11142,Clothing,3,Jacket,Yes
216,37,Female,occasional,8019,Electronics,5,Scarf,Yes
217,28,Male,occasional,16810,Electronics,5,Shorts,Yes
218,27,Female,occasional,7789,Books,5,Sunglasses,Yes
219,24,Female,rare,18283,Electronics,5,T-shirt,Yes
220,24,Male,occasional,11514,Clothing,4,Belt,Yes
221,27,Male,occasional,15517,Food,5,Sneakers,Yes
222,33,Female,rare,8315,Clothing,4,Hat,Yes
223,35,Male,rare,5726,Electronics,5,Gloves,Yes
224,33,Female,rare,15433,Health,4,Pants,Yes
225,28,Male,frequent,8674,Books,6,Socks,Yes
226,30,Male,occasional,8043,Books,7,Jacket,Yes
227,27,Male,occasional,11448,Clothing,7,Shoes,Yes
228,27,Male,frequent,12238,Clothing,6,Jeans,Yes
229,34,Male,occasional,12552,Books,4,Socks,Yes
230,25,Male,frequent,13074,Electronics,5,Sandals,Yes
231,39,Female,rare,15588,Health,5,Scarf,Yes
232,30,Female,frequent,10836,Food,3,Blouse,Yes
233,31,Female,occasional,20051,Electronics,5,Jewelry,Yes
234,27,Female,rare,2167,Electronics,6,Sweater,Yes
235,27,Female,rare,10599,Books,5,Gloves,Yes
236,24,Female,rare,2749,Food,3,Sunglasses,Yes
237,29,Male,rare,14540,Electronics,4,Coat,Yes
238,32,Female,rare,6048,Electronics,5,Dress,Yes
239,31,Male,rare,8536,Clothing,5,Skirt,Yes
240,27,Male,rare,2668,Food,4,Pants,Yes
241,26,Male,rare,3473,Electronics,6,Sweater,Yes
242,28,Female,rare,6930,Food,5,Hoodie,Yes
243,37,Male,occasional,12194,Health,4,Coat,Yes
244,25,Female,occasional,9663,Electronics,6,Jewelry,Yes
245,29,Male,rare,6657,Health,6,Belt,Yes
246,39,Female,rare,13107,Beauty,5,Sandals,Yes
247,30,Male,rare,5133,Electronics,6,Sunglasses,Yes
248,24,Male,occasional,6429,Clothing,6,Sweater,Yes
249,27,Male,rare,8260,Electronics,6,Belt,Yes
250,32,Male,rare,4354,Electronics,3,Handbag,Yes
251,28,Male,rare,10562,Electronics,3,Skirt,Yes
252,27,Female,occasional,20269,Food,3,Handbag,Yes
253,28,Male,frequent,12105,Books,4,Shorts,Yes
254,30,Male,frequent,15486,Books,4,Boots,Yes
255,37,Female,occasional,10274,Health,5,Sunglasses,Yes
256,30,Male,frequent,4868,Clothing,6,Scarf,Yes
257,35,Male,rare,2623,Clothing,6,Jewelry,Yes
258,33,Female,occasional,9754,Books,5,Handbag,Yes
259,29,Female,frequent,5408,Clothing,3,Gloves,Yes
260,23,Male,rare,15480,Beauty,6,Jeans,Yes
261,28,Female,rare,10382,Clothing,6,Hat,Yes
262,28,Female,rare,1771,Books,6,Jeans,Yes
263,30,Male,occasional,15190,Electronics,5,Pants,Yes
264,36,Male,occasional,16756,Food,5,Shorts,Yes
265,40,Female,occasional,19849,Food,7,Pants,Yes
266,37,Male,occasional,12318,Electronics,5,Backpack,Yes
267,29,Female,rare,11767,Food,5,Jewelry,Yes
268,22,Male,frequent,12768,Electronics,4,Sweater,Yes
269,28,Female,rare,10312,Food,5,Shoes,Yes
270,30,Female,occasional,16062,Electronics,2,Blouse,Yes
271,34,Male,rare,5591,Electronics,5,Jeans,Yes
272,34,Female,occasional,3274,Electronics,5,Sunglasses,Yes
273,33,Male,frequent,12738,Health,5,Jewelry,Yes
274,24,Male,rare,13016,Home,5,Coat,Yes
275,34,Male,occasional,12406,Health,5,Jewelry,Yes
276,28,Female,occasional,6997,Electronics,5,Backpack,Yes
277,31,Female,frequent,3556,Clothing,5,Skirt,Yes
278,30,Male,rare,6872,Food,5,Shirt,Yes
279,32,Female,rare,6081,Food,5,Sweater,Yes
280,30,Female,occasional,2700,Electronics,7,Sneakers,Yes
281,23,Female,rare,16697,Electronics,6,Sandals,Yes
282,33,Female,rare,9219,Food,5,Belt,Yes
283,32,Male,occasional,12287,Clothing,5,Skirt,Yes
284,29,Male,occasional,6500,Beauty,5,Sweater,Yes
285,31,Male,rare,13047,Books,7,Skirt,Yes
286,31,Male,rare,14734,Electronics,5,Handbag,Yes
287,31,Male,occasional,9737,Food,6,Jewelry,Yes
288,37,Male,rare,13508,Clothing,6,Scarf,Yes
289,29,Female,occasional,10512,Clothing,6,T-shirt,Yes
290,31,Female,occasional,8147,Electronics,6,Coat,Yes
291,35,Female,rare,3315,Books,3,T-shirt,Yes
292,35,Male,frequent,10382,Electronics,6,Dress,Yes
293,35,Female,rare,15809,Home,6,Shoes,Yes
294,27,Female,occasional,4884,Food,7,Handbag,Yes
295,39,Male,rare,12715,Books,5,Skirt,Yes
296,30,Female,frequent,5670,Health,6,Sunglasses,Yes
297,38,Male,rare,12100,Electronics,5,Sandals,Yes
298,24,Female,rare,9676,Clothing,4,Shoes,Yes
299,30,Female,rare,12683,Food,5,T-shirt,Yes
300,36,Female,rare,8926,Health,5,Sneakers,Yes
301,27,Female,occasional,2057,Electronics,6,Hat,Yes
302,27,Female,frequent,7050,Clothing,5,Skirt,Yes
303,26,Male,rare,3117,Electronics,5,Sweater,Yes
304,25,Male,rare,8868,Electronics,4,Sandals,Yes
305,28,Male,rare,5126,Electronics,5,Dress,Yes
306,31,Female,rare,2301,Electronics,7,Sweater,Yes
307,21,Male,occasional,6887,Food,6,Jacket,Yes
308,31,Female,occasional,8190,Electronics,4,Gloves,Yes
309,36,Male,rare,13352,Books,6,Handbag,Yes
310,39,Male,frequent,10912,Books,6,Dress,Yes
311,36,Male,rare,9610,Electronics,6,Pants,Yes
312,33,Male,frequent,9973,Electronics,6,Jeans,Yes
313,22,Female,rare,9539,Books,4,Pants,Yes
314,27,Female,rare,2054,Electronics,6,Dress,Yes
315,28,Male,rare,15244,Clothing,6,Pants,Yes
316,33,Male,rare,14109,Beauty,6,Jewelry,Yes
317,30,Female,rare,16170,Beauty,5,Handbag,Yes
318,24,Male,frequent,11624,Books,6,Sweater,Yes
319,38,Female,occasional,5706,Books,5,Backpack,Yes
320,34,Male,rare,2926,Electronics,6,Shorts,Yes
321,31,Male,occasional,12680,Books,4,Jewelry,Yes
322,35,Female,occasional,11264,Books,5,Sneakers,Yes
323,24,Female,rare,5937,Food,4,Belt,Yes
324,33,Female,rare,2976,Electronics,5,Hoodie,Yes
325,28,Male,occasional,15993,Health,6,Shirt,Yes
326,33,Female,occasional,18177,Clothing,5,Pants,Yes
327,30,Male,rare,13642,Clothing,7,Scarf,Yes
328,33,Female,occasional,10801,Books,6,Coat,Yes
329,36,Female,occasional,16138,Clothing,4,Coat,Yes
330,30,Female,occasional,4709,Clothing,5,Socks,Yes
331,35,Male,occasional,7294,Electronics,4,Sweater,Yes
332,25,Female,rare,14033,Clothing,2,Shirt,Yes
333,27,Female,rare,13664,Health,5,Shirt,Yes
334,37,Male,rare,10953,Books,4,Sweater,Yes
335,32,Female,rare,8024,Electronics,5,Blouse,Yes
336,21,Male,rare,7759,Beauty,4,Sweater,Yes
337,24,Male,occasional,2316,Beauty,5,Hat,Yes
338,29,Male,rare,15592,Beauty,5,Sweater,Yes
339,34,Female,rare,14809,Food,4,Hoodie,Yes
340,30,Male,rare,7372,Food,4,Shorts,Yes
341,33,Male,occasional,16859,Food,6,Shorts,Yes
342,34,Female,rare,10114,Electronics,4,Hat,Yes
343,37,Female,rare,10937,Books,5,Coat,Yes
344,30,Female,frequent,3538,Food,5,Sandals,Yes
345,30,Male,occasional,14408,Food,5,Skirt,Yes
346,22,Male,rare,6142,Food,5,Shoes,Yes
347,30,Female,frequent,14341,Clothing,4,Jeans,Yes
348,27,Male,rare,15517,Electronics,4,Sandals,Yes
349,26,Male,occasional,9615,Health,6,Blouse,Yes
350,29,Female,rare,2589,Electronics,5,Hat,Yes
351,35,Female,frequent,13098,Beauty,7,Sweater,Yes
352,21,Male,occasional,8405,Clothing,5,Skirt,Yes
353,28,Male,rare,7874,Books,5,Jeans,Yes
354,31,Male,rare,3372,Electronics,4,Sneakers,Yes
355,26,Male,rare,4717,Beauty,5,Jewelry,Yes
356,31,Male,rare,3629,Home,3,Jewelry,Yes
357,32,Female,rare,3955,Clothing,5,Pants,Yes
358,30,Male,frequent,4031,Health,7,Belt,Yes
359,19,Male,rare,12627,Clothing,7,Hat,Yes
360,41,Male,frequent,5845,Electronics,4,Sneakers,Yes
361,29,Male,occasional,4364,Electronics,4,Pants,Yes
362,33,Female,frequent,2473,Electronics,2,T-shirt,Yes
363,31,Female,frequent,12682,Home,6,Sneakers,Yes
364,35,Female,frequent,12173,Electronics,5,Shorts,Yes
365,34,Male,rare,5693,Food,5,Shoes,Yes
366,29,Male,occasional,17856,Books,4,Gloves,Yes
367,32,Female,occasional,5765,Electronics,3,Socks,Yes
368,26,Female,rare,10259,Books,5,Dress,Yes
369,34,Female,rare,15578,Books,5,Handbag,Yes
370,28,Male,frequent,4038,Clothing,5,Belt,Yes
371,41,Male,rare,1753,Clothing,5,Scarf,Yes
372,23,Male,rare,4665,Books,4,Sneakers,Yes
373,28,Female,rare,7806,Clothing,4,Sweater,Yes
374,34,Female,occasional,11805,Electronics,5,Coat,Yes
375,32,Male,occasional,10615,Food,4,Jewelry,Yes
376,27,Male,frequent,7323,Food,4,Sunglasses,Yes
377,26,Female,occasional,5510,Books,6,Shoes,Yes
378,31,Male,rare,6478,Electronics,4,Scarf,Yes
379,30,Female,occasional,13794,Clothing,6,Dress,Yes
380,22,Female,rare,17362,Electronics,4,T-shirt,Yes
381,30,Male,frequent,7418,Health,5,Backpack,Yes
382,31,Male,occasional,13045,Electronics,5,Jewelry,Yes
383,31,Female,frequent,13315,Books,5,Jeans,Yes
384,25,Female,occasional,13282,Clothing,6,Sunglasses,Yes
385,32,Male,rare,12289,Beauty,5,Sweater,Yes
386,36,Male,rare,13351,Food,5,Shorts,Yes
387,32,Male,occasional,6412,Books,6,Jewelry,Yes
388,25,Female,occasional,15991,Health,6,Coat,Yes
389,28,Female,rare,4487,Beauty,4,Handbag,Yes
390,32,Female,rare,10499,Electronics,5,Boots,Yes
391,27,Female,occasional,16165,Books,4,Gloves,Yes
392,20,Female,occasional,6796,Books,3,Sweater,Yes
393,34,Female,occasional,5345,Books,4,T-shirt,Yes
394,26,Female,occasional,17274,Books,5,Shoes,Yes
395,27,Male,rare,5348,Food,5,Scarf,Yes
396,37,Male,rare,1729,Electronics,5,Sneakers,Yes
397,27,Female,occasional,15992,Health,5,Dress,Yes
398,34,Female,occasional,7130,Electronics,3,Belt,Yes
399,24,Female,occasional,12982,Food,5,Boots,Yes
400,28,Female,occasional,2275,Electronics,5,Scarf,Yes
401,30,Female,occasional,12264,Beauty,4,Boots,Yes
402,25,Male,occasional,12387,Books,5,T-shirt,Yes
403,27,Female,occasional,6827,Books,5,Backpack,Yes
404,30,Female,frequent,8375,Electronics,4,Sneakers,Yes
405,33,Male,frequent,5131,Books,4,T-shirt,Yes
406,23,Male,rare,12277,Electronics,5,Jeans,Yes
407,28,Male,rare,10766,Clothing,3,Gloves,Yes
408,33,Male,occasional,3505,Books,6,Hoodie,Yes
409,28,Female,rare,3392,Books,5,Sneakers,Yes
410,31,Female,rare,3702,Clothing,6,Shorts,Yes
411,32,Female,rare,15510,Books,5,Sweater,Yes
412,31,Female,frequent,2005,Clothing,6,Jeans,Yes
413,33,Female,rare,6304,Clothing,6,Jacket,Yes
414,29,Male,occasional,5011,Beauty,5,Jewelry,Yes
415,28,Female,rare,3096,Electronics,6,Backpack,Yes
416,18,Female,frequent,4828,Electronics,6,Coat,Yes
417,30,Male,occasional,7502,Clothing,6,Belt,Yes
418,32,Female,frequent,2046,Food,7,Sandals,Yes
419,32,Male,rare,13261,Food,4,Sweater,Yes
420,28,Female,occasional,13390,Clothing,6,Shorts,Yes
421,38,Male,frequent,11166,Clothing,5,Socks,Yes
422,31,Female,rare,2817,Books,4,Shirt,Yes
423,31,Female,frequent,17549,Electronics,5,Pants,Yes
424,36,Female,rare,7367,Electronics,4,Scarf,Yes
425,27,Male,occasional,11280,Electronics,5,Sweater,Yes
426,28,Male,occasional,5201,Clothing,5,Jeans,Yes
427,41,Female,occasional,4513,Books,6,Pants,Yes
428,30,Male,rare,20023,Clothing,5,Backpack,Yes
429,37,Male,rare,6800,Health,5,Coat,Yes
430,24,Male,occasional,9072,Books,2,Sandals,Yes
431,29,Male,rare,14499,Electronics,5,Shirt,Yes
432,32,Female,rare,2367,Home,5,Hat,Yes
433,31,Female,occasional,2070,Clothing,6,Shirt,Yes
434,26,Female,occasional,17613,Health,3,Skirt,Yes
435,30,Female,frequent,15750,Electronics,5,Shoes,Yes
436,25,Male,rare,3046,Electronics,5,Coat,Yes
437,33,Female,rare,4089,Electronics,4,Pants,Yes
438,35,Male,rare,6530,Electronics,3,Jewelry,Yes
439,20,Female,occasional,13191,Clothing,6,Belt,Yes
440,36,Male,rare,7902,Books,4,Jacket,Yes
441,24,Female,frequent,1605,Food,4,Shirt,Yes
442,32,Male,frequent,4700,Electronics,7,Hoodie,Yes
443,33,Male,occasional,15633,Electronics,5,Sunglasses,Yes
444,29,Male,occasional,10891,Clothing,4,Sunglasses,Yes
445,27,Female,occasional,2444,Electronics,4,Dress,Yes
446,31,Female,occasional,1374,Health,4,Boots,Yes
447,32,Male,rare,12181,Books,6,Shirt,Yes
448,34,Female,rare,5328,Health,4,Shorts,Yes
449,21,Male,occasional,3700,Clothing,6,Gloves,Yes
450,23,Female,frequent,13344,Electronics,6,Jewelry,Yes
451,36,Male,rare,6711,Clothing,6,Boots,Yes
452,35,Male,rare,13480,Electronics,4,Jewelry,Yes
453,32,Female,rare,12027,Home,6,Pants,Yes
454,33,Female,frequent,15251,Health,4,Jewelry,Yes
455,34,Male,occasional,8926,Books,5,Jacket,Yes
456,18,Female,rare,3613,Health,4,Blouse,Yes
457,35,Female,rare,5770,Books,5,Blouse,Yes
458,28,Female,rare,14909,Food,4,Gloves,Yes
459,31,Male,rare,15494,Electronics,7,Shorts,Yes
460,29,Female,frequent,12216,Home,2,Hat,Yes
461,34,Male,frequent,14284,Books,6,Shoes,Yes
462,28,Male,rare,8737,Clothing,6,Boots,Yes
463,32,Female,occasional,6730,Books,6,Jacket,Yes
464,28,Female,rare,6837,Electronics,6,Jewelry,Yes
465,25,Female,occasional,8516,Electronics,5,Sunglasses,Yes
466,35,Male,rare,12000,Health,5,Skirt,Yes
467,33,Female,rare,13727,Food,3,Jeans,Yes
468,38,Female,occasional,11675,Food,6,Backpack,Yes
469,30,Male,rare,13327,Electronics,5,Backpack,Yes
470,35,Female,rare,6514,Home,6,Shorts,Yes
471,39,Male,frequent,19197,Health,7,Dress,Yes
472,29,Female,rare,4477,Beauty,8,Scarf,Yes
473,24,Male,frequent,3133,Clothing,4,Jeans,Yes
474,29,Male,rare,13736,Food,5,Coat,Yes
475,29,Female,frequent,10298,Food,5,Sweater,Yes
476,31,Male,occasional,2092,Health,6,Sneakers,Yes
477,38,Male,occasional,6088,Electronics,5,Scarf,Yes
478,29,Male,rare,5486,Electronics,5,Sweater,Yes
479,32,Male,rare,3659,Electronics,5,Jewelry,Yes
480,29,Male,occasional,11464,Books,6,Handbag,Yes
481,30,Male,rare,14646,Food,4,Hoodie,Yes
482,31,Female,rare,5505,Clothing,6,Hat,Yes
483,36,Female,frequent,14439,Books,4,Belt,Yes
484,31,Male,frequent,5431,Home,5,Hoodie,Yes
485,33,Male,occasional,4519,Electronics,6,Hat,Yes
