Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Review Rating,Subscription Status,Frequency of Purchases
116,53,Male,Skirt,Clothing,94,3.8,Yes,Every 3 Months
117,55,Male,Shoes,Footwear,86,3.4,Yes,Annually
118,50,Male,Sandals,Footwear,32,4.6,Yes,Fortnightly
119,50,Male,Sweater,Clothing,45,4.8,Yes,Bi-Weekly
120,38,Male,Coat,Outerwear,76,4.3,Yes,Annually
121,64,Male,Hat,Accessories,84,4,Yes,Annually
122,19,Male,Shorts,Clothing,72,4.2,Yes,Fortnightly
123,40,Male,Backpack,Accessories,40,4.8,Yes,Fortnightly
124,57,Male,Sweater,Clothing,89,3.1,Yes,Weekly
125,44,Male,Sweater,Clothing,86,3.1,Yes,Annually
126,49,Male,Shorts,Clothing,54,3.6,Yes,Every 3 Months
127,43,Male,Shorts,Clothing,36,3.9,Yes,Every 3 Months
128,24,Male,Sweater,Clothing,89,4.8,Yes,Weekly
129,20,Male,Scarf,Accessories,32,4.7,Yes,Fortnightly
130,24,Male,Dress,Clothing,67,4.2,Yes,Bi-Weekly
131,44,Male,Scarf,Accessories,39,3.7,Yes,Fortnightly
132,28,Male,Skirt,Clothing,29,3.9,Yes,Weekly
133,30,Male,Backpack,Accessories,58,4.7,Yes,Weekly
134,52,Male,Sweater,Clothing,65,2.5,Yes,Annually
135,43,Male,Hat,Accessories,94,4.9,Yes,Monthly
136,43,Male,Sandals,Footwear,81,4.1,Yes,Quarterly
137,39,Male,Blouse,Clothing,86,3.3,Yes,Quarterly
138,68,Male,Sneakers,Footwear,43,4.7,Yes,Weekly
139,68,Male,Skirt,Clothing,29,4.4,Yes,Weekly
140,49,Male,Coat,Outerwear,95,3.8,Yes,Annually
141,63,Male,Shirt,Clothing,28,3.9,Yes,Weekly
142,56,Male,Gloves,Accessories,46,4.9,Yes,Weekly
143,37,Male,Jacket,Outerwear,58,3.1,Yes,Fortnightly
144,30,Male,Coat,Outerwear,48,2.7,Yes,Quarterly
145,19,Male,Shoes,Footwear,43,3.2,Yes,Monthly
146,24,Male,Jewelry,Accessories,95,4.5,Yes,Quarterly
147,52,Male,Skirt,Clothing,30,4,Yes,Fortnightly
148,63,Male,Shoes,Footwear,64,3.5,Yes,Fortnightly
149,37,Male,Gloves,Accessories,90,2.6,Yes,Annually
150,38,Male,Pants,Clothing,76,3.2,Yes,Monthly
151,35,Male,Boots,Footwear,96,4.9,Yes,Every 3 Months
152,28,Male,Sunglasses,Accessories,47,4.5,Yes,Annually
153,30,Male,Shirt,Clothing,85,4.3,Yes,Annually
154,69,Male,Hoodie,Clothing,55,3.2,Yes,Annually
155,41,Male,Dress,Clothing,98,3.6,Yes,Quarterly
156,63,Male,Socks,Clothing,77,4.3,Yes,Quarterly
157,35,Male,Shorts,Clothing,26,4,Yes,Annually
158,36,Male,Hat,Accessories,68,3,Yes,Fortnightly
159,25,Male,Shirt,Clothing,73,4.1,Yes,Monthly
160,58,Male,Gloves,Accessories,27,3.8,Yes,Every 3 Months
161,27,Male,Gloves,Accessories,23,4.6,Yes,Monthly
162,65,Male,Backpack,Accessories,49,3,Yes,Fortnightly
163,54,Male,Sunglasses,Accessories,74,3,Yes,Bi-Weekly
164,54,Male,Skirt,Clothing,67,3.4,Yes,Weekly
165,59,Male,Handbag,Accessories,65,2.6,Yes,Fortnightly
166,42,Male,Handbag,Accessories,60,2.8,Yes,Monthly
167,46,Male,Sneakers,Footwear,31,4,Yes,Monthly
168,33,Male,Gloves,Accessories,27,4,Yes,Every 3 Months
169,34,Male,Shoes,Footwear,80,3,Yes,Fortnightly
170,27,Male,Jacket,Outerwear,30,3.3,Yes,Every 3 Months
171,52,Male,Shirt,Clothing,25,2.6,Yes,Bi-Weekly
172,29,Male,Shorts,Clothing,35,3.6,Yes,Weekly
173,54,Male,Jewelry,Accessories,67,3.9,Yes,Bi-Weekly
174,25,Male,Hat,Accessories,46,3.4,Yes,Annually
175,41,Male,Shoes,Footwear,35,3.5,Yes,Annually
176,53,Male,Coat,Outerwear,86,2.8,Yes,Annually
177,53,Male,Backpack,Accessories,81,2.7,Yes,Quarterly
178,21,Male,Hoodie,Clothing,42,3.7,Yes,Monthly
179,61,Male,Skirt,Clothing,43,4.3,Yes,Quarterly
180,64,Male,Boots,Footwear,31,4.9,Yes,Fortnightly
181,51,Male,Sandals,Footwear,81,3.3,Yes,Fortnightly
182,32,Male,Pants,Clothing,61,4.7,Yes,Weekly
183,38,Male,Gloves,Accessories,96,2.8,Yes,Annually
184,58,Male,Skirt,Clothing,29,3.6,Yes,Weekly
185,32,Male,Sneakers,Footwear,33,3,Yes,Fortnightly
186,46,Male,T-shirt,Clothing,32,4.5,Yes,Fortnightly
187,39,Male,Backpack,Accessories,56,2.9,Yes,Annually
188,19,Male,Shoes,Footwear,94,3.3,Yes,Bi-Weekly
189,50,Male,Hoodie,Clothing,53,3.1,Yes,Bi-Weekly
190,36,Male,Blouse,Clothing,82,4.4,Yes,Weekly
191,65,Male,Coat,Outerwear,70,3,Yes,Quarterly
192,64,Male,Hat,Accessories,76,3.9,Yes,Every 3 Months
193,46,Male,Shoes,Footwear,29,2.9,Yes,Bi-Weekly
194,36,Male,Belt,Accessories,100,3,Yes,Annually
195,51,Male,Backpack,Accessories,94,3.1,Yes,Quarterly
196,51,Male,Jacket,Outerwear,25,4.3,Yes,Monthly
197,38,Male,Boots,Footwear,88,3.9,Yes,Fortnightly
198,59,Male,Scarf,Accessories,78,3.2,Yes,Monthly
199,57,Male,Jewelry,Accessories,45,4.8,Yes,Fortnightly
200,54,Male,Hat,Accessories,73,3.8,Yes,Weekly
201,25,Male,Dress,Clothing,61,3.3,Yes,Monthly
202,69,Male,Blouse,Clothing,22,4.3,Yes,Annually
203,57,Male,Hat,Accessories,38,2.7,Yes,Annually
204,70,Male,Scarf,Accessories,38,3.2,Yes,Weekly
205,24,Male,Sneakers,Footwear,100,4,Yes,Bi-Weekly
206,67,Male,Shirt,Clothing,64,3,Yes,Weekly
207,24,Male,T-shirt,Clothing,55,4.2,Yes,Fortnightly
208,62,Male,Gloves,Accessories,91,2.9,Yes,Bi-Weekly
209,57,Male,Skirt,Clothing,38,4.1,Yes,Monthly
210,55,Male,Sandals,Footwear,97,3.2,Yes,Every 3 Months
211,45,Male,Jacket,Outerwear,22,3,Yes,Fortnightly
212,69,Male,Skirt,Clothing,92,4.2,Yes,Fortnightly
213,67,Male,Handbag,Accessories,84,4.2,Yes,Annually
214,30,Male,Handbag,Accessories,93,4.4,Yes,Every 3 Months
215,24,Male,Jacket,Outerwear,50,4.2,Yes,Every 3 Months
216,62,Male,Scarf,Accessories,64,2.8,Yes,Bi-Weekly
217,43,Male,Shorts,Clothing,61,3.7,Yes,Weekly
218,35,Male,Sunglasses,Accessories,48,3.5,Yes,Annually
219,28,Male,T-shirt,Clothing,45,2.9,Yes,Quarterly
220,32,Male,Belt,Accessories,88,3,Yes,Fortnightly
221,39,Male,Sneakers,Footwear,57,3.7,Yes,Fortnightly
222,28,Male,Hat,Accessories,68,4.4,Yes,Quarterly
223,47,Male,Gloves,Accessories,94,4.5,Yes,Fortnightly
224,20,Male,Pants,Clothing,41,4.8,Yes,Annually
225,63,Male,Socks,Clothing,83,2.9,Yes,Every 3 Months
226,25,Male,Jacket,Outerwear,22,3.2,Yes,Annually
227,29,Male,Shoes,Footwear,74,3.3,Yes,Monthly
228,50,Male,Jeans,Clothing,90,4.2,Yes,Fortnightly
229,18,Male,Socks,Clothing,79,2.9,Yes,Annually
230,70,Male,Sandals,Footwear,28,4.6,Yes,Every 3 Months
231,66,Male,Scarf,Accessories,88,4.1,Yes,Annually
232,28,Male,Blouse,Clothing,26,3.1,Yes,Every 3 Months
233,54,Male,Jewelry,Accessories,27,4.2,Yes,Bi-Weekly
234,19,Male,Sweater,Clothing,83,4.5,Yes,Every 3 Months
235,20,Male,Gloves,Accessories,39,3.7,Yes,Weekly
236,43,Male,Sunglasses,Accessories,89,3.7,Yes,Quarterly
237,38,Male,Coat,Outerwear,68,3.4,Yes,Fortnightly
238,50,Male,Dress,Clothing,90,3,Yes,Fortnightly
239,64,Male,Skirt,Clothing,34,4.2,Yes,Annually
240,49,Male,Pants,Clothing,51,2.9,Yes,Bi-Weekly
241,47,Male,Sweater,Clothing,45,3.5,Yes,Fortnightly
242,36,Male,Hoodie,Clothing,88,4.1,Yes,Bi-Weekly
243,55,Male,Coat,Outerwear,85,4.3,Yes,Every 3 Months
244,25,Male,Jewelry,Accessories,100,2.8,Yes,Monthly
245,53,Male,Belt,Accessories,42,4.9,Yes,Weekly
246,49,Male,Sandals,Footwear,53,3.3,Yes,Fortnightly
247,35,Male,Sunglasses,Accessories,86,3.2,Yes,Bi-Weekly
248,29,Male,Sweater,Clothing,66,4.4,Yes,Weekly
249,47,Male,Belt,Accessories,100,4.8,Yes,Weekly
250,53,Male,Handbag,Accessories,47,4.2,Yes,Annually
251,33,Male,Skirt,Clothing,25,4,Yes,Weekly
252,21,Male,Handbag,Accessories,51,2.5,Yes,Annually
253,32,Male,Shorts,Clothing,41,3.9,Yes,Fortnightly
254,52,Male,Boots,Footwear,73,4.9,Yes,Bi-Weekly
255,67,Male,Sunglasses,Accessories,42,3.5,Yes,Bi-Weekly
256,43,Male,Scarf,Accessories,20,4.2,Yes,Annually
257,58,Male,Jewelry,Accessories,30,4.7,Yes,Every 3 Months
258,20,Male,Handbag,Accessories,53,4.5,Yes,Quarterly
259,61,Male,Gloves,Accessories,74,2.8,Yes,Quarterly
260,32,Male,Jeans,Clothing,57,2.9,Yes,Annually
261,38,Male,Hat,Accessories,57,3.2,Yes,Every 3 Months
262,21,Male,Jeans,Clothing,77,4.9,Yes,Annually
263,37,Male,Pants,Clothing,40,3.7,Yes,Annually
264,27,Male,Shorts,Clothing,46,4.3,Yes,Monthly
265,36,Male,Pants,Clothing,78,3.9,Yes,Annually
266,32,Male,Backpack,Accessories,59,3.2,Yes,Bi-Weekly
267,51,Male,Jewelry,Accessories,75,3.1,Yes,Weekly
268,64,Male,Sweater,Clothing,54,3.9,Yes,Annually
269,68,Male,Shoes,Footwear,42,2.6,Yes,Monthly
270,68,Male,Blouse,Clothing,44,3.3,Yes,Bi-Weekly
271,33,Male,Jeans,Clothing,52,4.6,Yes,Annually
272,65,Male,Sunglasses,Accessories,69,4.6,Yes,Fortnightly
273,48,Male,Jewelry,Accessories,26,4.4,Yes,Bi-Weekly
274,69,Male,Coat,Outerwear,33,4.2,Yes,Quarterly
275,59,Male,Jewelry,Accessories,32,3,Yes,Bi-Weekly
276,48,Male,Backpack,Accessories,85,4,Yes,Weekly
277,25,Male,Skirt,Clothing,30,3.5,Yes,Fortnightly
278,29,Male,Shirt,Clothing,29,3,Yes,Bi-Weekly
279,57,Male,Sweater,Clothing,95,3.7,Yes,Annually
280,23,Male,Sneakers,Footwear,69,4,Yes,Monthly
281,45,Male,Sandals,Footwear,69,4.2,Yes,Bi-Weekly
282,38,Male,Belt,Accessories,61,2.5,Yes,Bi-Weekly
283,21,Male,Skirt,Clothing,94,3,Yes,Monthly
284,32,Male,Sweater,Clothing,30,3.2,Yes,Annually
285,63,Male,Skirt,Clothing,45,3.5,Yes,Quarterly
286,29,Male,Handbag,Accessories,39,4.8,Yes,Bi-Weekly
287,27,Male,Jewelry,Accessories,51,2.6,Yes,Annually
288,56,Male,Scarf,Accessories,37,3.4,Yes,Fortnightly
289,30,Male,T-shirt,Clothing,62,3.7,Yes,Bi-Weekly
290,49,Male,Coat,Outerwear,85,4.5,Yes,Monthly
291,58,Male,T-shirt,Clothing,33,3.7,Yes,Weekly
292,57,Male,Dress,Clothing,26,3.3,Yes,Monthly
293,60,Male,Shoes,Footwear,99,4.7,Yes,Quarterly
294,69,Male,Handbag,Accessories,39,2.7,Yes,Annually
295,70,Male,Skirt,Clothing,20,4.6,Yes,Every 3 Months
296,53,Male,Sunglasses,Accessories,42,2.7,Yes,Quarterly
297,25,Male,Sandals,Footwear,74,4.8,Yes,Weekly
298,48,Male,Shoes,Footwear,26,4.4,Yes,Bi-Weekly
299,69,Male,T-shirt,Clothing,53,4,Yes,Every 3 Months
300,25,Male,Sneakers,Footwear,80,3.2,Yes,Fortnightly
301,29,Male,Hat,Accessories,98,4.4,Yes,Weekly
302,46,Male,Skirt,Clothing,95,3.8,Yes,Every 3 Months
303,37,Male,Sweater,Clothing,44,3.6,Yes,Every 3 Months
304,20,Male,Sandals,Footwear,60,3.3,Yes,Weekly
305,40,Male,Dress,Clothing,84,3.4,Yes,Bi-Weekly
306,60,Male,Sweater,Clothing,59,3.5,Yes,Annually
307,26,Male,Jacket,Outerwear,49,3.6,Yes,Annually
308,29,Male,Gloves,Accessories,32,3.2,Yes,Every 3 Months
309,66,Male,Handbag,Accessories,29,3.7,Yes,Bi-Weekly
310,66,Male,Dress,Clothing,22,4.5,Yes,Fortnightly
311,56,Male,Pants,Clothing,85,4.6,Yes,Fortnightly
312,69,Male,Jeans,Clothing,52,4.1,Yes,Monthly
313,38,Male,Pants,Clothing,89,3.4,Yes,Annually
314,42,Male,Dress,Clothing,77,3.7,Yes,Every 3 Months
315,30,Male,Pants,Clothing,24,3.3,Yes,Every 3 Months
316,66,Male,Jewelry,Accessories,24,4.5,Yes,Annually
317,36,Male,Handbag,Accessories,22,3.3,Yes,Monthly
318,58,Male,Sweater,Clothing,82,4.3,Yes,Every 3 Months
319,45,Male,Backpack,Accessories,67,2.5,Yes,Annually
320,47,Male,Shorts,Clothing,74,2.6,Yes,Every 3 Months
321,66,Male,Jewelry,Accessories,72,4.9,Yes,Quarterly
322,41,Male,Sneakers,Footwear,36,4.7,Yes,Quarterly
323,41,Male,Belt,Accessories,95,3,Yes,Monthly
324,66,Male,Hoodie,Clothing,78,3.5,Yes,Bi-Weekly
325,37,Male,Shirt,Clothing,82,4.8,Yes,Quarterly
326,70,Male,Pants,Clothing,70,4.3,Yes,Annually
327,62,Male,Scarf,Accessories,41,3.2,Yes,Weekly
328,61,Male,Coat,Outerwear,42,3.1,Yes,Weekly
329,48,Male,Coat,Outerwear,50,2.8,Yes,Weekly
330,70,Male,Socks,Clothing,31,2.9,Yes,Monthly
331,46,Male,Sweater,Clothing,51,3.7,Yes,Bi-Weekly
332,31,Male,Shirt,Clothing,98,3.3,Yes,Quarterly
333,19,Male,Shirt,Clothing,86,2.8,Yes,Monthly
334,39,Male,Sweater,Clothing,64,4.5,Yes,Bi-Weekly
335,41,Male,Blouse,Clothing,46,2.6,Yes,Annually
336,20,Male,Sweater,Clothing,85,3.7,Yes,Every 3 Months
337,36,Male,Hat,Accessories,81,4.4,Yes,Annually
338,32,Male,Sweater,Clothing,59,4.3,Yes,Annually
339,69,Male,Hoodie,Clothing,79,3.5,Yes,Weekly
340,40,Male,Shorts,Clothing,33,3.8,Yes,Every 3 Months
341,40,Male,Shorts,Clothing,47,3.5,Yes,Every 3 Months
342,20,Male,Hat,Accessories,20,4.6,Yes,Bi-Weekly
343,64,Male,Coat,Outerwear,36,2.6,Yes,Every 3 Months
344,27,Male,Sandals,Footwear,39,4.4,Yes,Monthly
345,24,Male,Skirt,Clothing,71,4,Yes,Monthly
346,48,Male,Shoes,Footwear,59,4.4,Yes,Annually
347,49,Male,Jeans,Clothing,50,4.7,Yes,Weekly
348,36,Male,Sandals,Footwear,41,3.9,Yes,Fortnightly
349,56,Male,Blouse,Clothing,59,2.7,Yes,Fortnightly
350,37,Male,Hat,Accessories,87,3.7,Yes,Bi-Weekly
351,42,Male,Sweater,Clothing,68,2.6,Yes,Fortnightly
352,28,Male,Skirt,Clothing,90,3.9,Yes,Bi-Weekly
353,27,Male,Jeans,Clothing,71,4.9,Yes,Every 3 Months
354,63,Male,Sneakers,Footwear,64,4.1,Yes,Monthly
355,58,Male,Jewelry,Accessories,76,3,Yes,Weekly
356,37,Male,Jewelry,Accessories,42,4.1,Yes,Every 3 Months
357,56,Male,Pants,Clothing,80,3.8,Yes,Weekly
358,18,Male,Belt,Accessories,56,4,Yes,Bi-Weekly
359,48,Male,Hat,Accessories,25,3.6,Yes,Every 3 Months
360,31,Male,Sneakers,Footwear,74,3,Yes,Every 3 Months
361,51,Male,Pants,Clothing,30,3,Yes,Fortnightly
362,65,Male,T-shirt,Clothing,96,2.6,Yes,Annually
363,53,Male,Sneakers,Footwear,64,3.4,Yes,Fortnightly
364,55,Male,Shorts,Clothing,88,3.1,Yes,Fortnightly
365,62,Male,Shoes,Footwear,88,3,Yes,Every 3 Months
366,55,Male,Gloves,Accessories,88,3.7,Yes,Quarterly
367,64,Male,Socks,Clothing,36,3.5,Yes,Fortnightly
368,52,Male,Dress,Clothing,40,2.8,Yes,Monthly
369,24,Male,Handbag,Accessories,39,4.5,Yes,Monthly
370,38,Male,Belt,Accessories,40,3.3,Yes,Quarterly
371,59,Male,Scarf,Accessories,34,3.4,Yes,Weekly
372,27,Male,Sneakers,Footwear,83,3.2,Yes,Monthly
373,24,Male,Sweater,Clothing,85,3.7,Yes,Weekly
374,23,Male,Coat,Outerwear,27,4.6,Yes,Bi-Weekly
375,69,Male,Jewelry,Accessories,78,5,Yes,Monthly
376,59,Male,Sunglasses,Accessories,32,4.4,Yes,Quarterly
377,51,Male,Shoes,Footwear,51,4.9,Yes,Bi-Weekly
378,63,Male,Scarf,Accessories,32,4.1,Yes,Every 3 Months
379,54,Male,Dress,Clothing,62,4.9,Yes,Monthly
380,32,Male,T-shirt,Clothing,29,4.7,Yes,Bi-Weekly
381,39,Male,Backpack,Accessories,69,3,Yes,Weekly
382,66,Male,Jewelry,Accessories,25,3.4,Yes,Every 3 Months
383,28,Male,Jeans,Clothing,76,3.2,Yes,Quarterly
384,50,Male,Sunglasses,Accessories,77,2.9,Yes,Quarterly
385,70,Male,Sweater,Clothing,33,4.5,Yes,Annually
386,67,Male,Shorts,Clothing,93,2.7,Yes,Bi-Weekly
387,64,Male,Jewelry,Accessories,39,3.4,Yes,Quarterly
388,45,Male,Coat,Outerwear,93,4.6,Yes,Fortnightly
389,22,Male,Handbag,Accessories,82,2.7,Yes,Quarterly
390,27,Male,Boots,Footwear,42,4.2,Yes,Monthly
391,25,Male,Gloves,Accessories,71,3.2,Yes,Annually
392,37,Male,Sweater,Clothing,86,4.8,Yes,Fortnightly
393,26,Male,T-shirt,Clothing,82,3.3,Yes,Annually
394,33,Male,Shoes,Footwear,65,4.2,Yes,Fortnightly
395,43,Male,Scarf,Accessories,29,4.8,Yes,Bi-Weekly
396,37,Male,Sneakers,Footwear,65,4.9,Yes,Annually
397,46,Male,Dress,Clothing,88,3.9,Yes,Annually
398,22,Male,Belt,Accessories,46,3,Yes,Annually
399,20,Male,Boots,Footwear,67,4.6,Yes,Every 3 Months
400,60,Male,Scarf,Accessories,35,3.5,Yes,Monthly
401,39,Male,Boots,Footwear,66,4.8,Yes,Fortnightly
402,43,Male,T-shirt,Clothing,91,4.8,Yes,Quarterly
403,31,Male,Backpack,Accessories,78,3,Yes,Monthly
404,19,Male,Sneakers,Footwear,45,4.5,Yes,Annually
405,35,Male,T-shirt,Clothing,93,4.8,Yes,Monthly
406,41,Male,Jeans,Clothing,74,3.8,Yes,Annually
407,52,Male,Gloves,Accessories,55,4.6,Yes,Monthly
408,45,Male,Hoodie,Clothing,76,3.1,Yes,Bi-Weekly
409,34,Male,Sneakers,Footwear,66,3.4,Yes,Fortnightly
410,35,Male,Shorts,Clothing,51,3.3,Yes,Monthly
411,29,Male,Sweater,Clothing,26,4.8,Yes,Quarterly
412,59,Male,Jeans,Clothing,29,2.8,Yes,Annually
413,24,Male,Jacket,Outerwear,74,3.1,Yes,Weekly
414,70,Male,Jewelry,Accessories,99,4.6,Yes,Monthly
415,29,Male,Backpack,Accessories,88,2.6,Yes,Weekly
416,67,Male,Coat,Outerwear,31,2.6,Yes,Monthly
417,36,Male,Belt,Accessories,55,3.8,Yes,Fortnightly
418,23,Male,Sandals,Footwear,81,4.5,Yes,Quarterly
419,18,Male,Sweater,Clothing,73,3,Yes,Bi-Weekly
420,53,Male,Shorts,Clothing,91,3.5,Yes,Every 3 Months
